"ID","NOME","TIPO"
"1","Fat","Nutrient"
"2","Proteins","Nutrient"
"3","Carbohydrate","Nutrient"
"4","Cyanidin 3-(6''-acetyl-galactoside)","Compound"
"4","Fatty acids","Nutrient"
"5","Fiber (dietary)","Nutrient"
"6","13:0","Nutrient"
"7","14:1","Nutrient"
"8","15:1","Nutrient"
"9","16:1 c","Nutrient"
"10","16:1 t","Nutrient"
"11","16:1 undifferentiated","Nutrient"
"12","17:1","Nutrient"
"13","18:1 c","Nutrient"
"13","Cyanidin 3-(6''-succinyl-glucoside)","Compound"
"14","18:1 t","Nutrient"
"14","Pelargonidin 3-(6''-succinyl-glucoside)","Compound"
"15","18:1 undifferentiated","Nutrient"
"16","18:2 CLAs","Nutrient"
"17","18:2 i","Nutrient"
"18","18:2 t not further defined","Nutrient"
"19","18:2 t,t","Nutrient"
"20","18:2 undifferentiated","Nutrient"
"21","18:3 undifferentiated","Nutrient"
"22","18:3i","Nutrient"
"23","18:4","Nutrient"
"24","20:1","Nutrient"
"24","Petunidin 3-O-(6''-acetyl-galactoside)","Compound"
"25","20:2 n-6 c,c","Nutrient"
"25","Peonidin 3-(6''-acetyl-galactoside)","Compound"
"26","20:3 n-3","Nutrient"
"27","Malvidin 3-(6''-acetyl-galactoside)","Compound"
"27","20:3 n-6","Nutrient"
"28","20:3 undifferentiated","Nutrient"
"29","20:4 undifferentiated","Nutrient"
"30","21:5","Nutrient"
"31","Pelargonidin 3-arabinoside","Compound"
"31","22:0","Nutrient"
"32","22:1 c","Nutrient"
"33","22:1 t","Nutrient"
"34","22:1 undifferentiated","Nutrient"
"35","Peonidin 3-(6''-p-coumaroyl-glucoside)","Compound"
"35","22:4","Nutrient"
"36","22:5 n-3","Nutrient"
"37","24:1 c","Nutrient"
"38","Energy","Nutrient"
"39","Ash","Nutrient"
"40","Delphinidin 3-xyloside","Compound"
"41","Petunidin 3-(6''-p-coumaroyl-glucoside)","Compound"
"48","p-Coumaroyl vitisin A","Compound"
"52","Pinotin A","Compound"
"55","Malvidin 3-(6''-caffeoyl-glucoside)","Compound"
