"INGREDIENTECOMPOSTO","INGREDIENTEORIGINAL"
"Adobo Sauce","Chili"
"Adobo Sauce","Cumin"
"Adobo Sauce","Garlic"
"Adobo Sauce","Salt"
"Adobo Sauce","Sugar"
"Adobo Sauce","Vinegar"
"Ale","Beer"
"Apple Sauce","Apple"
"Apple Sauce","Apple Sauce"
"Apple Sauce","Lemon"
"Apple Sauce","Sugar"
"Baking Mix","Flour"
"Baking Mix","Leavening agent"
"Baking Mix","Salt"
"Baking Mix","Sugar"
"Baking Mix","Wheat"
"Barbeque Sauce","Garden onion"
"Barbeque Sauce","Garden tomato"
"Barbeque Sauce","Mayonnaise"
"Barbeque Sauce","Pepper"
"Barbeque Sauce","Sugar"
"Barbeque Sauce","Unknown"
"Barbeque Sauce","Vinegar"
"Barbeque Sauce","White mustard"
"Cajun Seasoning","Chili"
"Cajun Seasoning","Common oregano"
"Cajun Seasoning","Common thyme"
"Cajun Seasoning","Garden onion"
"Cajun Seasoning","Garlic"
"Cajun Seasoning","Pepper"
"Cajun Seasoning","Salt"
"Cake Mix","Flour"
"Cake Mix","Leavening agent"
"Cake Mix","Salt"
"Cake Mix","Sugar"
"Cake Mix","Wheat"
"Candied Mixed Fruit","Apricot"
"Candied Mixed Fruit","Black raisin"
"Candied Mixed Fruit","Blackcurrant"
"Candied Mixed Fruit","Date"
"Candied Mixed Fruit","Fig"
"Candied Mixed Fruit","Sugar"
"Chaat Masala","Anise"
"Chaat Masala","Chili"
"Chaat Masala","Coriander"
"Chaat Masala","Essential oil"
"Chaat Masala","Fennel"
"Chaat Masala","Garlic"
"Chaat Masala","Ginger"
"Chaat Masala","Mango"
"Chaat Masala","Plant"
"Chaat Masala","Salt"
"Chaat Masala","Sesame"
"Chaat Masala","Sweet bay"
"Chaat Masala","Turmeric"
"Chicken Masala Powder","Chili"
"Chicken Masala Powder","Cinnamon"
"Chicken Masala Powder","Cloves"
"Chicken Masala Powder","Coriander"
"Chicken Masala Powder","Fennel"
"Chicken Masala Powder","Ginger"
"Chicken Masala Powder","Pepper (Spice)"
"Chicken Masala Powder","Sweet bay"
"Chinese Five Spice Powder","Cinnamon"
"Chinese Five Spice Powder","Cloves"
"Chinese Five Spice Powder","Fennel"
"Chinese Five Spice Powder","Pepper"
"Chinese Five Spice Powder","Star anise"
"Chole Masala","Anise"
"Chole Masala","Chili"
"Chole Masala","Essential oil"
"Chole Masala","Fennel"
"Chole Masala","Garlic"
"Chole Masala","Ginger"
"Chole Masala","Sesame"
"Chole Masala","Turmeric"
"Cider Vinegar","Agave"
"Cider Vinegar","Cider Vinegar"
"Cider Vinegar","Cooking oil"
"Cider Vinegar","Soy cream"
"Cider Vinegar","Soy milk"
"Coleslaw","Cabbage"
"Coleslaw","Cooking oil"
"Coleslaw","Eggs"
"Coleslaw","Mayonnaise"
"Coleslaw","Salt"
"Coleslaw","Vinegar"
"Coleslaw","Water"
"Cooking Oil","Cooking oil"
"Cooking Oil","Sunflower"
"Coriander Cumin Seed Powder","Coriander"
"Coriander Cumin Seed Powder","Cumin"
"Cracker Crumb","Honey"
"Cracker Crumb","Sugar"
"Cracker Crumb","Wheat"
"Creole Seasoning","Chili"
"Creole Seasoning","Common oregano"
"Creole Seasoning","Common thyme"
"Creole Seasoning","Garden onion"
"Creole Seasoning","Garlic"
"Creole Seasoning","Pepper"
"Creole Seasoning","Pepper (Capsicum)"
"Creole Seasoning","Salt"
"Creole Seasoning","Sweet basil"
"Croaker","Atlantic croaker"
"Croaker","Spot croaker"
"Croissant","Butter"
"Croissant","Flour"
"Croissant","Leavening agent"
"Croissant","Wheat"
"Curry Powder","Cardamom"
"Curry Powder","Chili"
"Curry Powder","Cinnamon"
"Curry Powder","Cloves"
"Curry Powder","Coriander"
"Curry Powder","Cumin"
"Curry Powder","Fennel"
"Curry Powder","Fenugreek"
"Curry Powder","Nutmeg"
"Curry Powder","Pepper (Spice)"
"Curry Powder","Poppy"
"Curry Powder","Saffron"
"Curry Powder","Sesame"
"Curry Powder","Tamarind"
"Curry Powder","Turmeric"
"Dabeli Masala","Chili"
"Dabeli Masala","Cinnamon"
"Dabeli Masala","Cloves"
"Dabeli Masala","Coriander"
"Dabeli Masala","Cumin"
"Dried Mixed Fruit","Apricot"
"Dried Mixed Fruit","Black raisin"
"Dried Mixed Fruit","Blackcurrant"
