"ORIGEM","TIPO"
"Africa","Regiao"
"African","Regiao"
"Australia & NZ","Regiao"
"British Isles","Regiao"
"Canada","Pais"
"Caribbean","Regiao"
"China","Pais"
"DACH Countries","Regiao"
"EastAsian","Regiao"
"Eastern Europe","Regiao"
"EasternEuropean","Regiao"
"France","Pais"
"Greece","Pais"
"Indian Subcontinent","Regiao"
"Italy","Pais"
"Japan","Pais"
"Korea","Regiao"
"LatinAmerican","Regiao"
"Mexico","Pais"
"Middle East","Regiao"
"MiddleEastern","Regiao"
"Misc.: Belgian","Pais"
"Misc.: Central America","Regiao"
"Misc.: Dutch","Pais"
"Misc.: Portugal","Pais"
"NorthAmerican","Regiao"
"NorthernEuropean","Regiao"
"Scandinavia","Regiao"
"South America","Regiao"
"South East Asia","Regiao"
"SouthAsian","Regiao"
"SoutheastAsian","Regiao"
"SouthernEuropean","Regiao"
"Spain","Pais"
"Thailand","Pais"
"USA","Pais"
"WesternEuropean","Regiao"
