"ID","A","B","QUANTIDADE"
"3","Chinese chives","Cattle (Beef, Veal)","1"
"5","Soy bean","Cooking oil","1"
"11","Pepper (Spice)","Swiss cheese","12"
"18","Cattle (Beef, Veal)","Red wine","1"
"26","Skipjack tuna","Wheat bread","13"
"38","Eggs","Kohlrabi","13"
"41","Garden onion","Essential oil","5"
"46","Liquor","Tuna","37"
"52","Cream","Popcorn","5"
"55","Domestic pig","Sherry","43"
"56","Whisky","Salmon","3"
"59","Tarragon","Coriander","2"
"61","Endive","Black raisin","3"
"64","Peanut","Quince","13"
"66","Skipjack tuna","Olive","6"
"75","Liquor","Prunus (Cherry, Plum)","4"
"79","Cinnamon","Watercress","4"
"81","Gin","Green cabbage","2"
"84","Green tea","Rose hip","10"
"98","White mustard","Rum","9"
"100","Baked potato","Cattle (Beef, Veal)","79"
"102","Pecan nut","Walnut","7"
"103","Shiitake","Plant","1"
"104","Honey","Vegetable Broth","1"
"107","Brussel sprouts","Blue cheese","4"
"108","Pear","Turkey","8"
"114","Sour orange","Butter","9"
"123","Chili","Parsley","10"
"126","Green tea","Parsnip","3"
"128","Greek feta cheese","Lemon grass","6"
"136","Okra","Roe","1"
"138","Liquor","Wild celery","1"
"139","Pear","Endive","7"
"144","Black tea","Adzuki bean","56"
"145","Vaccinium (Blueberry, Cranberry, Huckleberry)","Lettuce","4"
"151","Essential oil","White wine","1"
"157","Vanilla","Cattle (Beef, Veal)","9"
"161","Pepper","Adzuki bean","5"
"162","Cattle (Beef, Veal)","Common thyme","1"
"169","Avocado","Winter squash","4"
"176","Wild celery","Potato chip","4"
"181","Blue cheese","Cheese","128"
"185","Lobster","Swiss cheese","2"
"186","Avocado","Pineapple","13"
"187","Mozzarella cheese","Turkey","33"
"189","Vaccinium (Blueberry, Cranberry, Huckleberry)","Mushrooms","24"
"197","Apricot","Mozzarella cheese","35"
"200","Caraway","Cheese","1"
"206","Chickpea","Gadus (Common cod)","1"
"210","Vaccinium (Blueberry, Cranberry, Huckleberry)","Parmesan cheese","27"
"215","Cucumber","Parmesan cheese","7"
"216","Peppermint","Rye bread","13"
"230","Almond","Potato","5"
"232","Crab","Sweet orange","9"
"238","Blue cheese","Blue cheese","127"
"250","Common pea","Sesame","3"
"256","Pear","Turkey","8"
"258","Swiss cheese","Sesame","9"
"263","Asparagus","Dill","8"
"264","Liquor","Whisky","71"
"266","Elderberry","Watermelon","30"
"267","Liquor","Mandarin orange (Clementine, Tangerine)","3"
"269","Green bell pepper","Grape","20"
"271","Citrus","Essential oil","11"
"274","Cheese","Unknown","2"
"279","Herring","Shiitake","32"
"284","Common thyme","Mushrooms","3"
"286","Catfish","Domestic pig","20"
"289","Watermelon","Peanut oil","9"
"296","Eggs","Turkey","19"
"298","Cheese","Black raisin","12"
"302","Citrus","Plant","5"
"303","Mung bean","Prunus (Cherry, Plum)","26"
"309","Bean","Cheese","41"
"310","Cardamom","Sheep (Mutton, Lamb)","13"
"312","Soy bean","White bread","42"
"315","Cheese","Oil palm","3"
"318","Liquor","Freshwater eel","6"
"325","Catfish","Rum","25"
"327","Bean","Mandarin orange (Clementine, Tangerine)","15"
"332","Milk (Cow)","Pineapple","31"
"337","Coffee","Strawberry","57"
"351","White bread","Cucumber","7"
"359","Vaccinium (Blueberry, Cranberry, Huckleberry)","Spearmint","10"
"360","Cocoa bean","White bread","37"
"373","Domestic pig","Cheese","5"
"376","Domestic pig","Domestic pig","7"
"381","Black raspberry","Cabbage","9"
"385","Sweet basil","Pepper (C. frutescens)","2"
"386","Apricot","Blackcurrant","18"
"387","Coriander","Salmon","7"
"396","Sesame","Walnut","2"
"401","Rice","Corn","38"
"402","Whisky","Lingonberry","2"
"403","Chives","Walnut","1"
"406","Kohlrabi","Fishes","14"
"409","Cattle (Beef, Veal)","Grapefruit","2"
"414","Anise","Domestic pig","2"
"416","Vaccinium (Blueberry, Cranberry, Huckleberry)","Mackerel","17"
"418","Cauliflower","Peanut oil","3"
"420","Catfish","Peanut","28"
"425","Cashew nut","Strawberry","10"
"428","Watermelon","Scallop","12"
"437","Chayote","Mung bean","1"
"438","Pear","Plant","1"
"439","Beer","Sausage","32"
"445","Blackberry","Vaccinium (Blueberry, Cranberry, Huckleberry)","65"
"447","Greek feta cheese","Domestic pig","58"
"449","Beer","Red wine","86"
"453","Pepper","Rice","5"
"454","Domestic pig","Cattle (Beef, Veal)","102"
"469","Bivalvia (Clam, Mussel, Oyster)","Winter squash","1"
"475","Plant","Watermelon","2"
"482","Plant","Kiwi","1"
"492","Barley","Vanilla","3"
"497","Leek","Lemon grass","1"
"504","Lichee","Soy bean","11"
"505","Bean","Carrot","17"
"508","Herring","Sesame","8"
"511","Salmon","Soy bean","56"
"521","Mango","Macroalgae","1"
"526","Banana","Saffron","2"
"527","Domestic pig","Salmon","42"
"532","Bivalvia (Clam, Mussel, Oyster)","Winter squash","5"
"541","Apricot","Papaya","45"
"547","Essential oil","Walnut","1"
"553","Butter","Domestic pig","62"
"559","Sesame","Parmesan cheese","2"
"567","Catfish","Mango","22"
"569","Citrus","Blackcurrant","4"
"581","Pear","White bread","7"
"588","Cheese","Nutmeg","3"
"589","Cabbage","Sweet orange","13"
"594","Bean","Dill","16"
"601","Plain cream cheese","Ginger","29"
"608","Vaccinium (Blueberry, Cranberry, Huckleberry)","Chives","1"
"612","Anise","White mustard","1"
"623","Pear","Rice","11"
"625","Brussel sprouts","Mackerel","4"
"630","Vaccinium (Blueberry, Cranberry, Huckleberry)","Rum","49"
"634","Cocoa bean","Vanilla","30"
"640","Red wine","Olive oil","2"
"646","White bread","Olive oil","1"
"648","Liquor","Salmon","3"
"652","Coriander","Mandarin orange (Clementine, Tangerine)","19"
"656","Cheese","Chives","4"
"660","Greek feta cheese","Roe","1"
"661","Sausage","Sausage","44"
"672","Milk (Cow)","Peppermint","14"
"677","Sweet bay","Turmeric","5"
"678","Nutmeg","Domestic pig","1"
"679","Sour orange","Olive","13"
"687","Oat","Shiitake","24"
